layer,harmonic_r2,gaussian_r2,morse_r2,rational_r2,logsat_r2,weibull_r2,power_r2,harmonic_aic,gaussian_aic,morse_aic,rational_aic,logsat_aic,weibull_aic,power_aic
1,0.088584,0.000000,0.088603,0.088582,0.088583,0.020546,0.104430,2846.4606,2974.8873,2848.4333,2848.4644,2848.4629,2948.5914,2824.5555
2,0.107545,0.107543,0.107543,0.107542,0.107543,0.107180,0.109371,2817.8058,2819.8092,2819.8100,2819.8110,2819.8092,2822.3635,2817.0150
3,0.107438,0.107517,0.107466,0.107496,0.107483,0.107588,0.107438,2817.9703,2819.8489,2819.9269,2819.8815,2819.9015,2821.7407,2819.9701
4,0.107583,0.107582,0.107581,0.107581,0.107582,0.107581,0.107603,2817.7489,2819.7495,2819.7516,2819.7516,2819.7502,2821.7520,2819.7177
5,0.107608,0.107353,0.107605,0.107604,0.107605,0.107619,0.107661,2817.7106,2820.0992,2819.7139,2819.7168,2819.7142,2821.6927,2819.6290
6,0.107600,0.107597,0.107598,0.107594,0.107596,0.107508,0.107696,2817.7227,2819.7274,2819.7260,2819.7313,2819.7277,2821.8629,2819.5756
7,0.107590,0.107585,0.107587,0.107581,0.107585,0.107530,0.107754,2817.7382,2819.7450,2819.7416,2819.7517,2819.7445,2821.8298,2819.4864
8,0.107489,0.107482,0.107487,0.107474,0.107482,0.107456,0.107757,2817.8923,2819.9032,2819.8950,2819.9141,2819.9020,2821.9428,2819.4820
9,0.107402,0.107394,0.107400,0.107384,0.107394,0.107288,0.107739,2818.0245,2820.0375,2820.0273,2820.0521,2820.0362,2822.1980,2819.5097
10,0.107347,0.107335,0.107345,0.107322,0.107336,0.107198,0.107836,2818.1093,2820.1269,2820.1121,2820.1465,2820.1262,2822.3360,2819.3622
11,0.107404,0.107391,0.107402,0.107378,0.107392,0.107159,0.107977,2818.0221,2820.0419,2820.0250,2820.0610,2820.0407,2822.3962,2819.1469
12,0.012352,0.000000,0.012391,0.000000,0.012741,0.000000,0.012594,2955.9466,2974.8873,2957.8932,2974.8873,2957.4099,2976.8872,2957.6121
